region_id,region,zip
99711,98321; WA; Seattle-Tacoma-Bellevue; Pierce County; Buckley,98321
99710,98320; WA; Jefferson County; Brinnon,98320
99707,98312; WA; Bremerton-Silverdale; Kitsap County; Bremerton,98312
99706,98311; WA; Bremerton-Silverdale; Kitsap County; Bremerton,98311
99705,98310; WA; Bremerton-Silverdale; Kitsap County; Bremerton,98310
99704,98305; WA; Port Angeles; Clallam County; Beaver,98305
99703,98304; WA; Seattle-Tacoma-Bellevue; Pierce County; Ashford,98304
99702,98303; WA; Seattle-Tacoma-Bellevue; Pierce County; Graham,98303
99700,98296; WA; Seattle-Tacoma-Bellevue; Snohomish County; Snohomish,98296
99699,98295; WA; Bellingham; Whatcom County; Sumas,
99698,98294; WA; Seattle-Tacoma-Bellevue; Snohomish County; Sultan,98294
99696,98292; WA; Seattle-Tacoma-Bellevue; Snohomish County; Stanwood,98292
99694,98290,98290
99693,98288; WA; Seattle-Tacoma-Bellevue; King County; Skykomish,98288
99691,98286; WA; San Juan County; Eastsound,98286
99690,98284; WA; Mount Vernon-Anacortes; Skagit County; Sedro-Woolley,98284
99689,98283; WA; Mount Vernon-Anacortes; Skagit County; Rockport,
99688,98282; WA; Oak Harbor; Island County; Camano Island,98282
99687,98281; WA; Bellingham; Whatcom County; Point Roberts,98281
99686,98280; WA; San Juan County; Eastsound,98280
99685,98279; WA; San Juan County; Olga,98279
99683,98277; WA; Oak Harbor; Island County,98277
99682,98276; WA; Bellingham; Whatcom County; Nooksack,98276
99681,98275,98275
99680,98274; WA; Mount Vernon-Anacortes; Skagit County; Mount Vernon,98274
99679,98273; WA; Mount Vernon-Anacortes; Skagit County; Mount Vernon,98273
99678,98272,98272
99677,98271,98271
99676,98270,98270
99675,98267; WA; Mount Vernon-Anacortes; Skagit County; Marblemount,98267
99674,98266; WA; Bellingham; Whatcom County; Maple Falls,98266
99673,98264; WA; Bellingham; Whatcom County; Lynden,98264
99672,98263; WA; Mount Vernon-Anacortes; Skagit County; Lyman,98263
